# Multiple XML Sources Configuration - TV2 Workflow (15 channels)
# Add your XML URLs here, one per line
# Format: CHANNEL_ID|URL|DISPLAY_NAME
# Note: Date will be automatically updated to current date

470669|https://epg.pw/api/epg.xml?channel_id=470669|BBC First

486880|https://epg.pw/api/epg.xml?channel_id=486880|BBC One EastHD

486673|https://epg.pw/api/epg.xml?channel_id=486673|BBC Two HD

9176|https://epg.pw/api/epg.xml?channel_id=9176|BLAZE

2379|https://epg.pw/api/epg.xml?channel_id=2379|Bravo PLUS 1

486713|https://epg.pw/api/epg.xml?channel_id=486713|CBBC HD

470530|https://epg.pw/api/epg.xml?channel_id=470530|Toon-A-Vision

470700|https://epg.pw/api/epg.xml?channel_id=470700|CBC Calgary HD

470498|https://epg.pw/api/epg.xml?channel_id=470498|CBC Ottawa

470853|https://epg.pw/api/epg.xml?channel_id=470853|CBC Toronto HD

470511|https://epg.pw/api/epg.xml?channel_id=470511|CBC Vancouver

470410|https://epg.pw/api/epg.xml?channel_id=470410|CBC Halifax

468311|https://epg.pw/api/epg.xml?channel_id=468311|WCBS-DT
